coin_id,name,percentage
181,SCSS,13.1
181,Other,0.7
183,C++,67.8
183,Python,20.0
183,C,6.6
183,M4,1.5
183,Shell,1.4
183,Makefile,1.2
183,Other,1.5
185,Go,61.5
185,Solidity,30.8
185,Python,2.6
185,Makefile,1.4
185,Shell,1.4
185,Perl,1.3
185,JavaScript,1.0
186,Go,85.7
186,C,6.3
186,JavaScript,5.1
186,Solidity,1.0
186,Assembly,0.7
186,Java,0.3
186,Other,0.9
187,Rust,93.7
187,Solidity,3.8
187,TypeScript,2.1
187,Other,0.4
189,TypeScript,94.7
189,JavaScript,4.6
189,Other,0.7
190,C++,54.9
190,C,42.3
190,CMake,1.7
190,Shell,0.8
190,Python,0.2
190,PowerShell,0.1
191,Go,72.0
191,Vue,18.7
191,TypeScript,5.6
191,HTML,1.4
191,Shell,1.0
191,Rich Text Format,0.5
191,Other,0.8
192,Java,96.6
192,CSS,3.3
192,HTML,0.1
194,C++,82.6
194,Lua,12.0
194,C,2.7
194,Makefile,2.1
194,Shell,0.4
194,Dockerfile,0.1
194,Assembly,0.1
195,Solidity,65.7
195,TypeScript,33.3
195,Other,1.0
196,JavaScript,100.0
199,Clojure,76.2
199,Python,15.2
199,Java,2.3
199,Nix,1.3
199,Shell,1.2
199,C++,1.1
199,Other,2.7
200,JavaScript,56.9
200,Solidity,43.1
